      TIME      Xa        X
 [1,]    0  0.0000   0.0000
 [2,]    1  0.0000  90.4837
 [3,]    2  0.0000  81.8731
 [4,]    4  0.0000  67.0320
 [5,]    8  0.0000  44.9329
 [6,]   12  0.0000  30.1194
 [7,]   24  0.0000   9.0718
 [8,]   25  0.0000  55.7898
 [9,]   26  0.0000  98.0620
[10,]   27  0.0000 136.3114
[11,]   28  0.0000 123.3397
[12,]   32  0.0000  82.6771
[13,]   36  0.0000  55.4201
[14,]   48  0.0000  16.6922
[15,]   49 36.7879  74.7657
[16,]   50 13.5335  89.5993
[17,]   52  1.8316  83.6341
[18,]   56  0.0335  57.3885
[19,]   60  0.0006  38.4929
[1] 1.421085e-14
