   TIME AMT RATE CMT BOLUS RATE2
1     0 100    0   2   100     0
2     1   0    0   0     0     0
3     2   0    0   0     0     0
4     4   0    0   0     0     0
5     8   0    0   0     0     0
6    12   0    0   0     0     0
7    24 150   50   2     0    50
8    25   0    0   2     0    50
9    26   0    0   2     0    50
19   27   0    0   0     0     0
10   28   0    0   0     0     0
11   32   0    0   0     0     0
12   36   0    0   0     0     0
13   48 100    0   1   100     0
14   49   0    0   0     0     0
15   50   0    0   0     0     0
16   52   0    0   0     0     0
17   56   0    0   0     0     0
18   60   0    0   0     0     0
